"dt_referencia","dt_atualizacao","confirmados","obitos","tx_obitos","recuperados","tx_recuperados","isolamento","tx_isolamento","enfermaria","tx_enfermaria","uti","tx_uti","testes_novos","testes_acumulados","tx_testes","leitos_uti","tx_oc_uti","leitos_enf","tc_oc_enf"
"2021-04-24","","395563","13640","0.034","335035","0.85","481","0.008","1586","0.026","558","0.001","4009","1604390","167124","1627","0.96","1250","0.81"
"2021-04-25","","396841","13687","0.034","335815","0.85","488","0.008","1617","0.026","560","0.001","2697","1607087","167405","1636","0.97","1250","0.8"
"2021-04-26","","399347","13762","0.034","338299","0.85","474","0.008","1596","0.026","551","0.001","9977","1617064","168444","1633","0.96","1250","0.83"
"2021-04-27","","402157","13868","0.034","340651","0.85","481","0.008","1628","0.026","562","0.001","8369","1625433","169316","1656","0.95","1238","0.81"
"2021-04-28","","404668","13967","0.034","343063","0.85","456","0.007","1565","0.025","568","0.001","8644","1634077","170216","1645","0.95","1233","0.81"
"2021-04-29","","406585","14038","0.034","345538","0.85","454","0.007","1504","0.025","553","0.001","10743","1644820","171335","1645","0.96","1233","0.81"
"2021-04-30","","408763","14128","0.035","347589","0.85","454","0.007","1558","0.025","568","0.001","8674","1653494","172239","1645","0.97","1241","0.8"
"2021-05-01","","409493","14180","0.035","347949","0.85","535","0.009","1499","0.024","560","0.001","3548","1657042","172609","1643","0.97","1241","0.8"
"2021-05-02","","410453","14206","0.035","348230","0.85","542","0.009","1573","0.025","588","0.001","3477","1660519","172971","1652","0.97","1255","0.78"
"2021-05-03","","412786","14279","0.035","350949","0.85","505","0.008","1619","0.026","580","0.001","10310","1670829","174045","1657","0.96","1249","0.8"
"2021-05-04","","414929","14333","0.034","352555","0.85","499","0.008","1599","0.026","593","0.001","8298","1679127","174909","1657","0.97","1249","0.81"
"2021-05-05","","418003","14385","0.034","355099","0.85","536","0.009","1546","0.025","598","0.001","8211","1687338","175764","1657","0.97","1249","0.81"
"2021-05-06","","420766","14434","0.034","357854","0.85","580","0.009","1473","0.023","616","0.002","10129","1697467","176819","1674","0.94","1258","0.83"
"2021-05-07","","423689","14491","0.034","360969","0.85","578","0.009","1477","0.024","612","0.001","9760","1707227","177836","1687","0.94","1249","0.77"
"2021-05-08","","424582","14518","0.034","361264","0.85","519","0.008","1576","0.025","646","0.002","6608","1713835","178524","1687","0.95","1249","0.81"
"2021-05-09","","426410","14550","0.034","363711","0.85","527","0.008","1619","0.026","643","0.002","3169","1717004","178855","1700","0.96","1247","0.85"
"2021-05-10","","429187","14639","0.034","366511","0.85","561","0.009","1625","0.026","667","0.002","12002","1729006","180105","1700","0.97","1247","0.81"
"2021-05-11","","431613","14719","0.034","369033","0.86","467","0.007","1578","0.025","636","0.002","8940","1737946","181036","1699","0.97","1232","0.83"
"2021-05-12","","434808","14798","0.034","371416","0.85","496","0.008","1567","0.025","640","0.002","10027","1747973","182081","1698","0.96","1232","0.84"
"2021-05-13","","437783","14841","0.034","373453","0.85","502","0.008","1619","0.025","636","0.002","10565","1758538","183181","1698","0.96","1232","0.86"
"2021-05-14","","440677","14906","0.034","375408","0.85","620","0.01","1595","0.024","603","0.001","9329","1767867","184153","1688","0.96","1221","0.84"
"2021-05-15","","442363","14949","0.034","376031","0.85","618","0.009","1632","0.025","615","0.001","3318","1771185","184498","1708","0.96","1234","0.82"
"2021-05-16","","443064","14980","0.034","376194","0.85","605","0.009","1655","0.025","619","0.001","1774","1772959","184683","1678","0.97","1234","0.86"
"2021-05-17","","446093","15048","0.034","378154","0.85","614","0.009","1602","0.024","593","0.001","11425","1784384","185873","1680","0.97","1249","0.85"
"2021-05-18","","449533","15127","0.034","381891","0.85","569","0.008","1613","0.024","605","0.001","7022","1791406","186605","1679","0.97","1269","0.85"
"2021-05-19","","459721","15192","0.033","384286","0.84","586","0.008","1643","0.022","626","0.001","11400","1802806","187792","1679","0.96","1257","0.84"
"2021-05-20","","456690","15258","0.033","386364","0.85","607","0.009","1696","0.024","625","0.001","12523","1815329","189097","1681","0.97","1257","0.82"
"2021-05-21","","460279","15325","0.033","388485","0.84","677","0.009","1592","0.022","592","0.001","6459","1821788","189770","1710","0.97","1258","0.86"
"2021-05-22","","462368","15365","0.033","389131","0.84","678","0.009","1625","0.022","602","0.001","251","1815329","189097","1695","0.97","1258","0.86"
"2021-05-23","","463736","15393","0.033","389534","0.84","676","0.009","1650","0.022","613","0.001","1637","1815329","189097","1705","0.98","1258","0.86"
"2021-05-24","","467269","15465","0.033","391461","0.84","702","0.009","1609","0.021","590","0.001","7443","1822772","189872","1718","0.98","1254","0.86"
"2021-05-25","","470063","15524","0.033","394630","0.84","673","0.009","1659","0.022","600","0.001","6840","1829612","190585","1723","0.97","1261","0.83"
"2021-05-26","","472590","15595","0.033","397051","0.84","708","0.009","1591","0.021","582","0.001","5812","1835424","191190","1733","0.97","1259","0.83"
"2021-05-27","","473326","15657","0.033","397631","0.84","707","0.009","1606","0.021","588","0.001","10976","1846400","192333","1712","0.97","1258","0.84"
"2021-05-28","","478902","15742","0.033","400005","0.84","703","0.009","1693","0.021","612","0.001","9845","1856245","193359","1714","0.98","1242","0.82"
"2021-05-29","","481070","15807","0.033","400592","0.83","684","0.009","1799","0.022","639","0.001","3445","1859690","193718","1715","0.98","1241","0.83"
"2021-05-30","","482157","15862","0.033","400751","0.83","684","0.008","1837","0.023","638","0.001","1446","1861136","193868","1726","0.98","1241","0.84"
"2021-05-31","","485594","15940","0.033","402711","0.83","722","0.009","1893","0.023","637","0.001","4459","1865595","194333","1739","0.97","1230","0.85"
"2021-06-01","","489145","16013","0.033","406920","0.83","658","0.008","1884","0.023","646","0.001","10194","1875789","195395","1758","0.96","1227","0.83"
"2021-06-02","","492794","16097","0.033","409743","0.83","699","0.008","1966","0.024","638","0.001","7601","1883390","196186","1760","0.97","1257","0.82"
"2021-06-03","","493438","16149","0.033","410240","0.83","732","0.009","1885","0.023","606","0.001","1351","1884741","196327","1758","0.96","1259","0.83"
"2021-06-04","","497906","16243","0.033","413346","0.83","725","0.009","2055","0.024","652","0.001","11378","1896119","197512","1757","0.96","1273","0.84"
"2021-06-05","","499572","16292","0.033","414367","0.83","736","0.009","2143","0.025","662","0.001","2783","1898902","197802","1749","0.96","1273","0.83"
"2021-06-06","","500821","16357","0.033","415055","0.83","737","0.009","2249","0.026","677","0.001","9442","1908344","198786","1750","0.97","1273","0.82"
"2021-06-07","","502697","16468","0.033","416397","0.83","907","0.011","1868","0.022","656","0.001","7262","1915606","199542","1764","0.97","1275","0.82"
"2021-06-08","","509184","16549","0.032","423540","0.83","956","0.011","1879","0.022","698","0.001","11107","1926713","200699","1765","0.97","1277","0.8"
"2021-06-09","","511829","16614","0.032","426097","0.83","996","0.012","1813","0.021","727","0.001","5527","1932240","201275","1779","0.97","1274","0.8"
"2021-06-10","","515544","16701","0.032","429165","0.83","917","0.011","1816","0.021","730","0.001","10047","1942287","202322","1779","0.97","1277","0.8"
"2021-06-11","","518421","16780","0.032","431760","0.83","923","0.011","1882","0.022","744","0.001","8506","1950793","203208","1778","0.96","1277","0.75"
"2021-06-12","","519577","16828","0.032","432119","0.83","918","0.011","1915","0.022","751","0.001","3678","1954471","203591","1788","0.96","1277","0.73"
"2021-06-13","","520694","16860","0.032","432715","0.83","918","0.01","1964","0.022","752","0.001","2016","1956487","203801","1788","0.94","1277","0.72"
"2021-06-14","","524316","16932","0.032","435964","0.83","963","0.011","1955","0.022","753","0.001","9419","1965906","204782","1791","0.92","1273","0.71"
"2021-06-15","","526963","16990","0.032","438357","0.83","977","0.011","1925","0.022","763","0.001","8225","1974131","205639","1792","0.91","1267","0.69"
"2021-06-16","","530077","17069","0.032","442186","0.83","1026","0.012","1900","0.022","744","0.001","9154","1983285","206592","1801","0.87","1264","0.69"
"2021-06-17","","533195","17139","0.032","445238","0.84","974","0.011","1961","0.022","755","0.001","10186","1993471","207653","1800","0.86","1264","0.67"
"2021-06-18","","535707","17216","0.032","449231","0.84","1135","0.013","1847","0.021","717","0.001","6060","1999531","208284","1800","0.86","1264","0.67"
"2021-06-19","","536671","17254","0.032","450773","0.84","1134","0.013","1889","0.022","716","0.001","2577","2002108","208553","1809","0.85","1264","0.63"
"2021-06-20","","537476","17281","0.032","451374","0.84","1128","0.013","1921","0.022","716","0.001","1566","2003674","208716","1809","0.83","1262","0.64"
"2021-06-21","","539815","17343","0.032","454676","0.84","1171","0.014","1876","0.022","715","0.001","9731","2013405","209730","1808","0.82","1262","0.63"
"2021-06-22","","542173","17407","0.032","458189","0.85","1154","0.014","1884","0.022","723","0.001","7253","2020658","210485","1776","0.82","1261","0.64"
"2021-06-23","","543564","17463","0.032","459438","0.85","1310","0.016","1757","0.021","680","0.001","5261","2025919","211033","1812","0.79","1261","0.63"
"2021-06-24","","544280","17487","0.032","459793","0.84","1245","0.015","1751","0.021","675","0.001","2316","2028235","211274","1812","0.79","1261","0.62"
"2021-06-25","","545690","17526","0.032","461076","0.84","1254","0.015","1768","0.021","667","0.001","6430","2034665","211944","1812","0.77","1261","0.6"
"2021-06-26","","546537","17551","0.032","461971","0.85","1254","0.015","1802","0.021","681","0.001","2705","2037370","212226","1812","0.77","1261","0.62"
"2021-06-27","","547136","17579","0.032","462239","0.84","1251","0.015","1862","0.022","687","0.001","3285","2040655","212568","1810","0.76","1261","0.61"
"2021-06-28","","549317","17640","0.032","464711","0.85","1238","0.015","1837","0.022","687","0.001","7682","2048337","213368","1810","0.73","1261","0.62"
"2021-06-29","","550292","17685","0.032","465330","0.85","1228","0.015","1833","0.022","683","0.001","7789","2056126","214180","1786","0.71","1250","0.61"
"2021-06-30","","552289","17720","0.032","467422","0.85","1234","0.015","1800","0.021","683","0.001","5768","2061894","214781","1780","0.69","1250","0.58"
"2021-07-01","","554688","17766","0.032","470737","0.85","1023","0.012","1809","0.021","674","0.001","3772","2065666","215174","1780","0.68","1250","0.56"
"2021-07-02","","557293","17841","0.032","474232","0.85","969","0.012","1782","0.021","657","0.001","8273","2073939","216035","1760","0.66","1249","0.54"
"2021-07-03","","558698","17872","0.032","475280","0.85","971","0.012","1816","0.022","644","0.001","3233","2077172","216372","1769","0.64","1254","0.54"
"2021-07-04","","559358","17908","0.032","475589","0.85","990","0.012","1841","0.022","637","0.001","2654","2079826","216649","1769","0.63","1254","0.54"
"2021-07-05","","561505","17953","0.032","478929","0.85","1181","0.014","1691","0.02","582","0.001","8497","2088323","217534","1657","0.64","1242","0.55"
"2021-07-06","","563264","17979","0.032","480812","0.85","1091","0.013","1679","0.02","574","0.001","5994","2094317","218158","1621","0.65","1241","0.52"
"2021-07-07","","564789","18023","0.032","483721","0.86","1102","0.014","1661","0.02","544","0.001","6146","2100463","218798","1646","0.64","1200","0.54"
"2021-07-08","","566979","18068","0.032","486505","0.86","1104","0.014","1662","0.021","556","0.001","7426","2107889","219572","1636","0.63","1144","0.56"
"2021-07-09","","568940","18100","0.032","488843","0.86","1039","0.013","1637","0.02","558","0.001","8254","2116143","220432","1634","0.63","1144","0.54"
"2021-07-10","","569863","18110","0.032","489824","0.86","1039","0.013","1661","0.021","562","0.001","3526","2119669","220799","1633","0.62","1144","0.51"
"2021-07-11","","570246","18131","0.032","490090","0.86","1039","0.013","1678","0.021","551","0.001","1928","2121597","221000","1626","0.61","1143","0.51"
"2021-07-12","","572536","18166","0.032","492668","0.86","1070","0.013","1654","0.021","554","0.001","5994","2127591","221624","1627","0.62","1161","0.51"
"2021-07-13","","574681","18206","0.032","495254","0.86","1076","0.014","1644","0.021","521","0.001","5809","2133400","222229","1620","0.6","1161","0.49"
"2021-07-14","","575865","18235","0.032","497027","0.86","1075","0.014","1599","0.02","506","0.001","5449","2138849","222797","1537","0.63","1151","0.51"
"2021-07-15","","577115","18294","0.032","498683","0.86","1031","0.013","1566","0.02","502","0.001","6563","2145412","223480","1539","0.61","1151","0.51"
"2021-07-16","","578448","18304","0.032","500058","0.86","1014","0.013","1586","0.02","501","0.001","5762","2151174","224081","1539","0.62","1151","0.51"
"2021-07-17","","579086","18325","0.032","500459","0.86","1014","0.013","1592","0.02","497","0.001","2522","2147934","223743","1539","0.6","1151","0.49"
"2021-07-18","","579425","18342","0.032","500584","0.86","990","0.013","1605","0.02","500","0.001","1427","2149361","223892","1538","0.58","1142","0.49"
"2021-07-19","","579779","18388","0.032","500750","0.86","1027","0.013","1547","0.02","489","0.001","4657","2154018","224377","1526","0.56","1132","0.49"
"2021-07-20","","581593","18444","0.032","502798","0.86","1007","0.013","1576","0.02","479","0.001","5500","2159518","224950","1499","0.56","1115","0.49"
"2021-07-21","","582849","18502","0.032","505433","0.87","1025","0.013","1533","0.02","450","0.001","4966","2164484","225467","1504","0.53","1119","0.48"
"2021-07-22","","583969","18548","0.032","507140","0.87","1007","0.013","1526","0.02","444","0.001","6396","2170880","226133","1504","0.5","1118","0.47"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""